id,cip_prefix,completions
102377,42,20
102377,44,9
102377,45,13
102377,46,12
102377,50,2
102377,51,88
102377,52,54
102377,54,4
102377,99,547
102395,13,11
102395,31,38
102395,99,49
102429,03,10
102429,11,72
102429,12,24
102429,15,50
102429,19,26
102429,24,178
102429,46,211
102429,47,18
102429,48,117
102429,49,197
102429,51,348
102429,52,13
102429,99,1264
102553,01,4
102553,03,8
102553,05,3
102553,09,15
102553,11,35
102553,12,12
102553,13,42
102553,14,67
102553,15,47
102553,16,12
102553,19,11
102553,22,14
102553,23,36
102553,24,171
102553,26,56
102553,27,3
102553,30,46
102553,31,16
102553,38,3
102553,40,19
102553,41,23
102553,42,72
102553,43,28
102553,44,90
102553,45,35
102553,46,3
102553,47,61
102553,48,18
102553,49,33
102553,50,24
102553,51,418
102553,52,231
102553,54,26
102553,99,1682
102580,39,4
102580,99,4
102614,01,1
102614,03,35
102614,05,14
102614,09,6
102614,11,18
102614,12,15
102614,13,121
102614,14,55
102614,15,26
102614,16,9
102614,19,22
102614,22,6
102614,23,13
102614,24,72
102614,26,47
102614,27,12
102614,29,1
102614,30,70
102614,31,11
102614,38,2
102614,40,32
102614,42,36
102614,43,93
102614,44,39
102614,45,21
102614,46,3
102614,47,46
102614,48,8
102614,49,2
102614,50,16
102614,51,115
102614,52,155
102614,54,5
102614,99,1127
102632,03,24
102632,05,3
102632,13,134
102632,15,1
102632,16,2
102632,23,5
102632,24,23
102632,26,14
102632,27,3
102632,30,16
102632,43,39
102632,44,19
102632,45,13
102632,46,1
102632,47,21
102632,48,15
102632,49,14
102632,51,62
102632,52,66
102632,99,475
102669,03,3
102669,13,8
102669,23,4
102669,24,2
102669,30,10
102669,31,10
102669,42,18
102669,51,65
102669,52,62
102669,99,182
102711,11,12
102711,12,8
102711,15,14
102711,30,1
102711,47,25
102711,48,19
102711,52,15
102711,99,94
102845,01,34
102845,11,18
102845,15,17
102845,43,2
102845,46,33
102845,47,145
102845,48,57
102845,51,835
